Type,Construction Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Address,Price,Currency,Description,Datetime,Parking,Links
Functioning Business,Panels,78 sq.m.,Available,Not available,First Line,Separate from the Street,"Khanjyan street, Ararat","$110,000",USD,"Commercial space (operating business) is for sale in Ararat city. The 1st floor is 78 square meters, the basement is 30 square meters. In the pictures are only pictures of the 1st floor. Sold together with the property.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/18297693
Industrial and Manufacturing,Stone,4826 sq.m.,,,,,"Mashtots Street, Dimitrov","37,000,000 ֏",AMD,"Dimitrov village. The front length of the road is 92 meters, the total area is 4826 square meters, gas, electricity, water is near the building.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/17856641
Industrial and Manufacturing,Stone,360 sq.m.,Available,Not available,First Line,Separate from the Street,Ararat › Masis,"$115,000",USD,"Urgent bakery for sale (bakery) in the center of Masis, total area - 360 square meters.The workshop has a storage room, a study, is provided with constant drinking and irrigation water, has three-phase electricity.For sale with all the equipment, with all the amenities.Price is negotiable.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/16552224
Retail Space,Stone,156 sq.m.,,,,,Ararat › Argavand,"$75,000",USD,"Urgent sale of commercial space in Argavandi highway. The area is line 1 and is of public importance. It has permission to build a four-story building. Can serve as a hotel, casino, shop, etc. Price negotiable. For more information call: NarineCode 3117Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/17424247
Retail Space,Stone,3000 sq.m.,,,,,Ararat › Ararat,"$400,000",USD,"Urgently for sale, restaurant, bistro, pub, car wash, land, orchard. A ready-made business is possible with all the furniture and equipment.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/17758757
Multifunctional Space,Cassette,,,,,,Ararat › Ararat,"500,000 ֏",AMD,Lav vichakuma normal butkaya,Nov-24-2022_21-59,,https://list.am/en/item/15907982
Industrial and Manufacturing,Stone,2790 sq.m.,Not available,Not available,First Line,Separate from the Street,"Արարատյան փողոց 49, Վեդի","50,000,000 ֏",AMD,"Land of industrial significance is for sale. The land area is 0.279 hectares. , Araratyan street 1st line, front length 54.8 m.It is a convenient area for implementing business projects.There is also a warehouse in the area...Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/17438639
Building,Stone,205 sq.m.,,,,,"Ստեփան Շահումյանի փողոց 34, Արարատ","$110,000",USD,"Commercial building for sale in Ararat ․ Suitable for restaurant, kindergarten, bank, office premises, etc. The building has two rooms and common) ․ The building is made of polished tuff, the roof is galvanized. Located in the center.P. S. NOT NEGOTIABLE.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/17684057
Functioning Business,Stone,"15,000 sq.m.",Available,Available,First Line,Separate from the Courtyard,Ararat › Masis,"$570,000",USD,"Dzknabucaran fish farm for saleThe annual production is from 300 + tons to 400 tons, the amount of feed can be increased by 1000 kg per day, all pastas are legal, they are legally allowed in 100 liter containers.I am currently working on a large volumehas a mailroom2 state power line, VIP line. It has 2 generators, automatic reverse pump, 140 liters of water per second. 60 cases with new serdi camerasAn ideal employeeFish Farm Lakesand wholesale retail fish salesDzknabucaran:Lcher:IshxanAsetrinaKarmraxayt:GexarqunikReasonable Price The fish farm pays for itself in just 1 year of breedingTranslated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/17967364
Functioning Business,Stone,1200 sq.m.,,,,,Ararat › Masis,"120,000,000 ֏",AMD,"Very Urgent For rent, an operating business with stable income, a supermarket with all its facilities, 15 km from Yerevan on Masis Ranchpar Highway. The total area of buildings is about 600 square meters. The supermarket has an additional area of 250 square meters, 15 square meters for a pharmacy, a storage area of 240 square meters, and an area of 100 square meters for a food court. There is an operating gas station nearby. In case of purchase, we can rent for a long time. The price is negotiable.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/13503184
Building,Stone,5000 sq.m.,Available,Not available,First Line,Common from the Street,"3-rd street, Masis","35,000,000 ֏",AMD,"Farm barn Masis town village Shorakyan (Noramarg) with an area of 5000 square meters, has all the amenities, there is also an apartment in the areaTranslated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/17211705
Retail Space,Stone,193 sq.m.,,,,,"Արարատյան փողոց 42/2, Վեդի","15,000,000 ֏",AMD,"For salearea in the center of Vedi (kaltsavo), frontage length 15 meters, total 193 square meters, suitable for any type of activity, has three-phase current.I will negotiate with a real buyer...Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/17439671
Everything Else,Stone,1300 sq.m.,Not available,Available,Other,Separate from the Street,Ararat › Masis,"22,000,000 ֏",AMD,A 1300 square meter rose greenhouse with cooling and heating system is for urgent sale. The total area of the plot is 1 ha (1.5 ha with the sep. Certificate) The plants are placed in bags filled with fertilized special soil.Heated by powerful air heaters.Exchange with an apartment in Yerevan.Translated from Armenian,Nov-24-2022_21-59,,https://list.am/en/item/12250388
Agricultural Space,Stone,1200 sq.m.,,,,,Ararat › Artashat,100 ֏,AMD,"Call for details, in addition to the property, there is 750 hectares for rent.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/18035205
Retail Space,Stone,3200 sq.m.,Not available,Not available,First Line,Common from the Street,Ararat › Ararat,"$640,000",USD,"Commercial, public, stone building for sale in the center of Masis city, former universal building, the building is divided into 2 floors, has 3200 sq. M. Area, total land area 49000 sq. M., building suitable for various business activities, trade center, entertainment hall, restaurant, hotel Shine.The apartment is displayed under a real estate display contract.Service commission - 2% of the sale priceIt is possible to trade in cryptocurrencies - BITCOIN, WEBMONEY, USDT, SKRILL.Special note! Only buyers who want to buy an apartment through the agency will call…You can apply for the sale (rental) of other apartments or your real estate by the mentioned phone number.Code 0137Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/13006982
Functioning Business,Stone,3100 sq.m.,Available,Not available,First Line,Common from the Street,"Araratyan street, Masis","$535,000",USD,"URGENT gas station on the Masis-Echmiadzin road without an intermediary.Gas, gasoline, liquefied gas, car wash, futcort.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/15335020
Multifunctional Space,Cassette,6 sq.m.,Available,Not available,First Line,Common from the Street,Ararat › Artashat,"530,000 ֏",AMD,"Kiosk with thick metal sheet electrified for bistro and trade. 3x2 inside. The plastered ceiling, insulation and ventilation windows are removable with mesh. The booth can be moved to any location. Attention, we will adjust the price urgently. It is possible to exchange with building materials, furniture. For details, call.Translated from Armenian",Nov-24-2022_21-59,OUtdoor parking,https://list.am/en/item/17337024
Industrial and Manufacturing,Stone,2000 sq.m.,,,,,Ararat › Byuravan,"$47,000",USD,"I'M SELLINGA building built for livestock in 2007-2008 in Byuravan community of Artashat (15 km from Noragavt)Land area - 2000m, building - 10×25=250m, all communications about 50-100m.The building is built with 2 layers of tuff, in the middle of which an air jacket is left for thermal insulation (эффект термоса), insulated roof, roof made of metal (оцинковка) profile.The building has never been used, it can be used for other purposes.The price is not final.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/17986534
Everything Else,Wooden,20 sq.m.,,,,,"Armavir Province Roadway, Hovtashat","1,000,000 ֏",AMD,It is in perfect conditionTranslated from Armenian,Nov-24-2022_21-59,,https://list.am/en/item/18235205
Industrial and Manufacturing,Stone,8084 sq.m.,Available,Not available,Other,Separate from the Street,Ararat › Mrganush,"$80,000",USD,"ATTENTION URGENTLY, a plot of industrial land with a private house in Mrganush village of Ararat marz is for sale at half its value. The area also has a cattle shed, a greenhouse with stone walls and one auxiliary building, the house has 3 bedrooms, one living room and one kitchen, the area is rich in tree species, in particular, it has more than 140 peach trees, 60 of which are newly planted, it has permanent water, electricity and internet, the total area is 8084 sq/m. It is located only 20 km from Yerevan. The price is negotiable. Call for details.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/17244885
Agricultural Space,Panels,1000 sq.m.,,,,,Ararat › Artashat,"3,200,000 ֏",AMD,2 greenhouses 36 meters long7 meters wide by 3.30 metersIn heightCall for detailsTranslated from Armenian,Nov-24-2022_21-59,,https://list.am/en/item/18084675
Everything Else,Bricks,370 sq.m.,,,,,Ararat › Geghanist,$500,USD,370 sq / m greenhouse for saleGreenhouse materialPrice is negotiableTranslated from Armenian,Nov-24-2022_21-59,,https://list.am/en/item/17273314
Functioning Business,Cassette,1000 sq.m.,,,,,"Խաչատուր Աբովյանի փողոց 6, Արտաշատ","$130,000",USD,"Ready-made business space for sale, which includes three types of business, 24-hour market, do-it-yourself, and carpet cleaning service. The area is located on the first line of Mrgavan community, on the road to Upper Artashat, next to the railway line. There is three-phase electricity, drinking water and sewage in the area. ONLY REAL BUYERS CALL.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/17539349
Agricultural Space,Stone,"20,000 sq.m.",,,,,Ararat › Darakert,"$750,000",USD,"Greenhouse for sale, operating business. The total area is 20,000 sq. M., of which 4000 sq. M. Is a greenhouse, 9000 sq. M., an orchard with 700 different trees, a 60 sq. M. Newly renovated residential house, a 50 sq. M. Shelter area, a greenhouse. The entire area is gasified, single-phase electricity, 2 own artisans, the greenhouse also has a cooling system, thornless blackberry with a drip system, call for other details.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/18206672
Multifunctional Space,Stone,14 sq.m.,Not available,Not available,First Line,Common from the Street,"Yerevan-Artashat roadway, Ayntap Border","$15,000",USD,Dproci dimac shoshi vra,Nov-24-2022_21-59,,https://list.am/en/item/16180051
Industrial and Manufacturing,Bricks,,,,,,Ararat › Artashat,"$1,500,000",USD,"Վաճառվում է 1,6 հեկտար ցանկապատած արտադրական տարածք, 3500 ք. Մ. Շինություն կոմունալ հարմարություններով (եռաֆազ հոսանք, խմելու ջուր, ոռոգման ջուր) գտնվում է քաղաքից 14կմ հեռավորության վրա, կից հողատարածքները ընդհանուր մակերեսով 18,5 հեկտար որոնց մեջ ներառված են պտղատու ծառեր 2 հատ 1000քմ մակերեսով լիճ մեկը գործող:Շինության մի մասը զբաղացնում է ֆերման 50 գլուխ խոշոր անասունով, մի մասը գործող կաթի վերամշակման արտադրամաս, անասնակեր (գարու ածիկ) հիդրոպոնիկ ճանապարով աճեցվող օրական 2տ: Բնակելի տուն կոմունալ հարմարություներով 100քմՎաճառվում է իր տեխնիկայով հանդերձԶանգահարել Viber-ի համարին",Nov-24-2022_21-59,,https://list.am/en/item/15532688
Industrial and Manufacturing,Stone,1100 sq.m.,,,,,Ararat › Nor Kharberd,"$800,000",USD,"Կոդ` B-18326Վաճառվում է արտադրական տարածք Նոր Խարբերդում, շինության մակերեսը 3500քմ է: Ունի 2 անգար 1400քմ և 800քմ մակերեսով, պահեստային տարածք, պահակակետ, եռաֆազ հոսանք, մշտական ջուր, գազ: Անգարները տրվում են նաև վարձակալությամբ (1քմ 800դր և 1000դր) :Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։A production area for sale in Nor Kharberd, the area of the building is 3500 sq. M. It has 2 hangars with an area of 1400 sq. M and 800 sq. M, storage area, guard post, three-phase electricity and is supplied with constant water and gas. The hangars are also being rented (800 AMD և 1000 AMD per square meter)The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-24-2022_21-59,,https://list.am/en/item/14833413
Industrial and Manufacturing,Stone,1750 sq.m.,Not available,Not available,First Line,Separate from the Street,Ararat › Artashat,"$150,000",USD,"Կոդ՝ B-21777Վաճառվում է արտադրական տարածք Արտաշատ քաղաքում։ Շինության մակերեսը՝ 430քմ։ Ունի եռաֆազ հոսանք, ավտոկայանատեղ, արտեզյան ջուր, գազի հնարավորություն։ Հարմար է արտադրամասի և այլ նպատակային աշխատանքների համար։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։A production area for sale in Artashat. The area of the building is 430 sq. M. The area has three-phase electricity, parking, artesian water, possibility of gas installation. It is suitable for purposeful works of the workshop.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-24-2022_21-59,,https://list.am/en/item/17448068
