Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Address,Price,Currency,Description,Datetime,Land Area,Service Lines,Facilities,Appliances,Links
House,Stone,115 sq.m.,1,3,1,Not available,1 spot,Old Renovation,"Ղուկասյան փողոց 7-րդ և 8-րդ շարքեր, Գյումրի","21,000,000 ֏",AMD,"Address: Q. Gyumri, Ghukasyan street 8th row, 33 residential houses.For details, call the mentioned phone number.Translated from Armenian",Nov-25-2022_00-22,,,,,https://list.am/en/item/17965050
House,Stone,221 sq.m.,2,8+,2,Not available,Not available,Cosmetic Renovation,"Էլեկտրոպրիբորնի փողոց 9-րդ շարք 15/1, Գյումրի","38,000,000 ֏",AMD,"A half-built residential house is for sale, c. Gyumri, Electropriborn street, 9th row, 15/1.There is also a garage.For details, call the indicated phone number.Translated from Armenian",Nov-25-2022_00-22,,,,,https://list.am/en/item/18001734
House,Stone,168 sq.m.,1,5,1,Not available,2 spots,Old Renovation,Shirak › Maralik,"$35,000",USD,"A private house for sale in the village of Dzorakap near Maralik, located on the Yerevan-Gyumri highway. The house has a basement the size of the whole house, it has a workshop, a separate garage, a bakery, a barn. The house is located in the middle of the plot, it is completely fenced. It consists of 5 rooms, it is gasified, there is sewerage, electricity, constant hot and cold water. There is a garden with fruit trees. The price is negotiable.Call + 89295621440 or Viber.Translated from Armenian",Nov-25-2022_00-22,1500 sq.m.,,,,https://list.am/en/item/16920179
House,Stone,100 sq.m.,2,3,1,Not available,Not available,Major Renovation,"Երկաթգծի փողոց 62, Գյումրի","$60,000",USD,"The house has 3 bedrooms, a large living room, a large dining room, a kitchen, a bathroom, a large yard with pears, heating system, gas, electricity, water, internet, a school, a kindergarten, shops are nearby, there is also a garage near the station. Call until 18:00. Call with a viber number. Negotiable:Translated from Armenian",Nov-25-2022_00-22,60 sq.m.,,,,https://list.am/en/item/17884776
House,Stone,277 sq.m.,1,2,1,Available,1 spot,No Renovation,"Ղորղանյան փողոց 176, Գյումրի","$36,000",USD,"An apartment is for sale in the center of the city, there is a garage, gas, electricity, water, the area is suitable for land use, it needs major renovation, the area of the stone building is 177 square meters, and the land area is 100 square meters. It consists of 4 rooms, two kitchens, the price is negotiableTranslated from Armenian",Nov-25-2022_00-22,100 sq.m.,,,,https://list.am/en/item/16825243
House,Stone,220 sq.m.,1,4,2,,,Designer Renovation,"Ռասկատլյան փողոց 1, Գյումրի","$180,000",USD,"Has a summer kitchen, garage, swimming poolTranslated from Armenian",Nov-25-2022_00-22,500 sq.m.,,,,https://list.am/en/item/17854263
Townhouse,Monolith,400 sq.m.,3,6,2,Not available,3 or more spots,Partial Renovation,Shirak › Gyumri,"$48,000",USD,"The summer house is located 20 km away from Gyumri in Vardakar village, near Horom reservoir. It is very convenient to make a recreation area. The area is completely fenced with iron bars. There is a road leading to the reservoir from the yard which allows to place boats for vacationers.Translated from Armenian",Nov-25-2022_00-22,2200 sq.m.,,,,https://list.am/en/item/17866546
House,Bricks,128 sq.m.,2,4,2,Available,1 spot,Old Renovation,"Movses Khorenatsi Street 24, Gyumri","25,000,000 ֏",AMD,Продаю дом. Все камунальные услуги.,Nov-25-2022_00-22,,,,,https://list.am/en/item/17791291
House,Stone,110 sq.m.,1,4,1,,,Euro Renovation,"Улица Карена Демирчяна 8, Гюмри","$55,000",USD,"Дом в хорошем состоянии, все вапросы по телефону",Nov-25-2022_00-22,360 sq.m.,,,,https://list.am/en/item/18259500
House,Stone,147 sq.m.,1,4,1,Not available,1 spot,Old Renovation,"Arevelyan street, Gyumri","$24,000",USD,"Urgent! Private house for sale. The house is located next to the new airport. Has a garden with fruit trees, a garage. The house is very bright. For questions call the mentioned number.Translated from Armenian",Nov-25-2022_00-22,700 sq.m.,,,,https://list.am/en/item/17563730
House,Stone,650 sq.m.,1,4,1,,,Partial Renovation,Shirak › Gyumri,"$83,000",USD,"A private house for sale in Gyumri, in a state of disrepair, in the vicinity of the big wheel of Yerevanian highway, it has a well-maintained Armenian stone greenhouse, a summer kitchen, a fenced individual heating system, and a fire pit for sale.Translated from Armenian",Nov-25-2022_00-22,470 sq.m.,,,,https://list.am/en/item/17816535
House,Stone,388 sq.m.,2,6,2,Not available,1 spot,No Renovation,Shirak › Artik,"$30,000",USD,"В доме железобетонные стены, железобетонный фундамент, и при проектировании учтена сейсмостойкость, согласно географическому положению постройка не пережила землетрясения. 600 кв. М. М. Земля. Готов встретиться или ответить на все ваши вопросы по телефону, если вдруг телефоны не будут доступны. WhatsApp. Интересный обмен на квартиру в Ереване. Для родственников карабахских братьев и родственников сестер на моих условиях предусмотрены существенные скидки и опционы.",Nov-25-2022_00-22,600 sq.m.,,,,https://list.am/en/item/18055095
House,Stone,311 sq.m.,2,5,2,,,Partial Renovation,"Ջրաշինարարների փողոց, Ախուրյան","20,000,000 ֏",AMD,"The two-story residential house is partially renovated, all utilities are available.The total area is 311 square meters, there is also an auxiliary building of 271.44 square meters. In total area.Code 11-01Translated from Armenian",Nov-25-2022_00-22,990 sq.m.,,,,https://list.am/en/item/18135871
House,Stone,320 sq.m.,1,3,1,,,Partial Renovation,Shirak › Gyumri,"$50,000",USD,"C, Gyumri, 350 square meters on the border border street. A 3-room residential house is for sale. The house is equipped with all necessary communications. There is an iron door and euro windows at the entrance. The apartment consists of 3of the rooms with a total area of 90 square meters, with a tiled bathroom.The house is furnished and equipped with necessary equipment. There are also many shops, restaurants, cafes nearby.Vardanants square 800 metersNear Central ParkTranslated from Armenian",Nov-25-2022_00-23,230 sq.m.,,,,https://list.am/en/item/18373893
House,Stone,90 sq.m.,1,4,1,Not available,3 or more spots,No Renovation,"Улица Башинджагяна 11, Гюмри","$37,000",USD,Продаю дом 680 кв/м двор 90 кв/м дом. Идеально подходит под производство.,Nov-25-2022_00-23,640 sq.m.,,,,https://list.am/en/item/17182865
House,Stone,110 sq.m.,1,4,1,,,Old Renovation,Shirak › Panik,"$55,000",USD,Все вопросы по тел.,Nov-25-2022_00-23,12 sq.m.,,,,https://list.am/en/item/18212551
House,Stone,120 sq.m.,1,4,1,,,Partial Renovation,"Շիրակի խճուղի 1, Ախուրյան","50,000,000 ֏",AMD,"Private house for urgent sale, Shirak marz G. In Akhuryan regional center. With land near the house, the total area is 1600 sq. / m. The living area is 120 square meters. / m. The house has 3 rooms - it has a large hall, kitchen, light, gas, permanent water. The bathroom is inside and outside. The house has a basement of 30 square meters. / m. There is a barn of 80 square meters on the land. / m. The barn roof holds 4 tons of feed. Bakery 20 sq. / m. Far from the house there is a basement of 40 square meters. / m. The land has permanent irrigation water, has fruit trees. It is 5000 m. Public transport. The price is negotiable. Urgent sale.Translated from Armenian",Nov-25-2022_00-23,1600 sq.m.,,,,https://list.am/en/item/6869605
House,Stone,70 sq.m.,1,3,1,,,Cosmetic Renovation,"Կայարանամերձ հրապարակ 1, Գյումրի","$16,000",USD,"Bright is a good warm house. It is located in the center of the city, with all the communal facilities, gas, light, hot and cold, permanent water. The windows are new, the door has been changed to Euro. It is cosmetically renovated, there is a water heater. There is a garage in the yard.The house is privatized, it has one advantage: They do not pay the annual state taxes, as it was the house of the fund.Translated from Armenian",Nov-25-2022_00-23,60 sq.m.,,,,https://list.am/en/item/16845353
House,Monolith,360 sq.m.,1,7,2,,,No Renovation,"Vazgen Sargsyan street, Gyumri","$35,000",USD,"A half-built building is for sale, it is located behind Vazgen Sargsyan Lentex. There is a cattle barn and a plot of land with fruit trees next to the building. The building is provided with water and sewerage, there is also a tonir. The price is 35,000 negotiable.Translated from Armenian",Nov-25-2022_00-23,3000 sq.m.,,,,https://list.am/en/item/16747918
House,Stone,112 sq.m.,1,3,1,Available,Not available,Old Renovation,Shirak › Gyumri,"$15,500",USD,"It is located in Tavshut village. It is a big and comfortable house. In addition to the mentioned 3 rooms, there is a wide corridor, which can be changed to serve as a room. It has an entrance, a kitchen, a toilet and a bathroom. There is a barn (110 sq. M.) and another building nearby. It has a large yard like 7.5 hectares of land in different parts of the village. For more information, call the indicated phone number.Translated from Armenian",Nov-25-2022_00-23,,,,,https://list.am/en/item/15482104
House,Stone,600 sq.m.,3,8+,3+,Available,1 spot,Designer Renovation,Shirak › Gyumri,"$530,000",USD,"In the central street of Gyumri, indoor building, garage, orchard. The attic and basement are also renovated. It is suitable for building banking, hotel, restaurant, and various types of office spaces. All furniture is included in the price.Translated from Armenian",Nov-25-2022_00-23,1400 sq.m.,,,,https://list.am/en/item/17569121
House,Stone,100 sq.m.,1,3,1,Available,2 spots,Partial Renovation,"Լևոն Մադոյան փողոց 314, Գյումրի","$30,000",USD,"The house is located in a normal neighborhood, it has a sunny side, it has a yard, a garden with fruit trees, there is a building base of 25 square meters in the yard. For details, call the real buyer, negotiable.Translated from Armenian",Nov-25-2022_00-23,300 sq.m.,,,,https://list.am/en/item/18329183
House,Stone,190 sq.m.,1,4,1,Not available,1 spot,Cosmetic Renovation,"Vazgen Sargsyan street, Gyumri","$65,000",USD,"Newly built private house c. B. With H fruit trees, spacious yard, land, it is possible to exchange with an apartment for an additional fee.Translated from Armenian",Nov-25-2022_00-23,570 sq.m.,,,,https://list.am/en/item/16581189
House,Stone,150 sq.m.,1,4,1,Not available,Not available,Old Renovation,Shirak › Byurakn,"$7,000",USD,"Residential detached house for sale, with old renovation, in the former Gyulubulagh village of Shirak region, with an adjacent 77 square meter newly built cattle barn, garden, where there are 100 fruit trees. The house needs interior decoration.Translated from Armenian",Nov-25-2022_00-23,2800 sq.m.,,,,https://list.am/en/item/18118118
House,Stone,86 sq.m.,1,3,1,By agreement,Not available,Old Renovation,"Ghandilyan street, Gyumri","$25,000",USD,"The house needs renovation, it is privatized (gas, water)Translated from Armenian",Nov-25-2022_00-23,200 sq.m.,,,,https://list.am/en/item/17504372
House,Stone,500 sq.m.,1,3,1,,,Old Renovation,Shirak › Mayisyan,"$30,000",USD,"The house is located in Mayisyan village. It has 3 rooms, kitchen, bathroom, garage, tonratun, barn, storage room. Large soil in front of the house with fruit trees. Irrigation water goes right into the house, very convenient for watering the garden. There is a small building in front of the house. There is a basement in the basement of the house. The house needs renovation, but it is subject to living. Exchange with an apartment in Gyumri.Translated from Armenian",Nov-25-2022_00-23,1000 sq.m.,,,,https://list.am/en/item/16872416
House,Stone,150 sq.m.,1,4,1,Not available,2 spots,No Renovation,Shirak › Maralik,"$17,000",USD,Kisakaruyc. Uni 23m. Anasnagom. Avtotnak. Parspapatvac.,Nov-25-2022_00-23,1000 sq.m.,,,,https://list.am/en/item/16063950
House,Stone,96 sq.m.,1,3,2,,,Euro Renovation,Shirak › Arapi,"$50,000",USD,"Очень светлый и теплый дом, после капитального ремонта. На участке есть помещение на 200кв. М под бизнес имеется гараж, сад с плодовыми деревьями. Свет, канализация, горячая ихолодная вода подулючено",Nov-25-2022_00-23,1000 sq.m.,,,,https://list.am/en/item/18205813
House,Stone,160 sq.m.,2,5,1,Available,1 spot,Cosmetic Renovation,"2-րդ փողոց 11, Հացիկ","$60,000",USD,"The house is in normal condition, in the yard, garage, bakery, adjacent building, barn, price negotiableTranslated from Armenian",Nov-25-2022_00-23,2000 sq.m.,,,,https://list.am/en/item/17428960
House,Stone,430 sq.m.,2,8+,3+,Not available,Not available,No Renovation,"Աբովյան փողոց 2-րդ փակուղի 14, Գյումրի","$50,000",USD,The house was built after the earthquakeTranslated from Armenian,Nov-25-2022_00-23,600 sq.m.,,,,https://list.am/en/item/16526699
House,Stone,100 sq.m.,1,2,1,,,Partial Renovation,Shirak › Gyumri,"$24,000",USD,"The house has gas, water, all facilities in the property. Negotiable garage MSI KOMBINAT. 3rd row.Translated from Armenian",Nov-25-2022_00-23,100 sq.m.,,,,https://list.am/en/item/17072441
House,Stone,200 sq.m.,2,6,2,Not available,2 spots,No Renovation,Shirak › Artik,"$15,000",USD,"The house is located in c. Artik, on the road leading to the colony, there is one floor on the side of the street, two floors on the back, a high fence is lined up in front of the plot, there is polished tuff on the side of the street, there is a fence, the roof is metal, the price is negotiable, exchange with car is possibleTranslated from Armenian",Nov-25-2022_00-23,600 sq.m.,,,,https://list.am/en/item/17111227
House,Stone,175 sq.m.,2,4,1,,,Old Renovation,Shirak › Horom,"$28,000",USD,"A 4-room house is for sale in Horom village. The apartment is partially renovated on the sunny side, with fruit trees, gardens, there is also a cowshed, a garage, a boiler house. The house has an attic and a comfortable sitting area. The area is sheltered by stones.Call for details.Translated from Armenian",Nov-25-2022_00-23,1455 sq.m.,,,,https://list.am/en/item/18194621
House,Stone,100 sq.m.,1,3,1,,,Old Renovation,"Խ․Աբովյան փողոցի 1-ին նրբանցք, Գյումրի","$7,500",USD,"A house for sale in Gyumri, for more details, write to WhatsApp on the mentioned numberTranslated from Armenian",Nov-25-2022_00-23,500 sq.m.,,,,https://list.am/en/item/18371134
