Type,Land Area,Service Lines,Address,Price,Currency,Description,Datetime,Links
For General Purpose,600 sq.m.,"ELectricity, water supply, sewerage",International › Russia,"$13,000",USD,"I am selling a plot of land in the city of Golubisk, Krasnodar Territory, the plot is located 250 meters from the Sea of Azov, all communications are available (water, electricity, sewage) My land is the only one left in the area, the rest are all built up. The area is guarded by security guards.Translated from Armenian",Nov-25-2022_00-53,https://list.am/en/item/17920634
For Residential Development,900 sq.m.,,International › Other Countries,"$15,000",USD,"Հողամաս 9 սոտկа, գտնվում է գյուղ ""Իվանովսկի"" Չեխովի շրջանի, ք. Չեխովի ընդամենը 3 կմ... Հետ անդորրագրի եւ լույսի (shochike դրել, 15KW) Գյուղում գազ Կա, արդեն վերջակետ ու նշագիծ են դրել տեղամասի ուղղությամբ, տան կառուցումից հետո կարելի է գազ անցկացնել ։ Մենք վերցրել այս տարածքը, քանի որ դա հնարավոր է ընդլայնել գրեթե եւս 8-9 sotka, եւ ձեւը հիշեցնում է Segan մոտավորապես 63m. Լայնությամբ, ինչպես նաեւ ելքի երկայնքով գետի ""Лопасня"", որ լուսանկարի Ռադիո կապույտ եւ կարմիր մատնանշեց տարածքները, որոնք կարող են ժամանակի ընթացքում միավորել իրենց! Գյուղում կա դպրոց, խանութներ, կանգառը մոտ. Գինը նվազեցրել է կադաստրային արժեքից։ Капутов ев Кармир гцеров ншвац тарацкнере карелие хетагаюм миацнел хогин...Участок от собственника, находиться в с. Ивановское Чеховский район, от г. Чехова всего 3км... С ПРОПИСКОЙ и СВЕТОМ (счетчик поставили, 15квт) В деревне есть газ, уже поставили Точку и отметку прям по линии участка, после стройки дома можно провести газ! Мы брали данный участок из-за того что можно расшириться почти на еще 8-9 соток, и по форме напоминает трапеции примерно 63м. По ширине с выходом вдоль реки Лопасня, На ФОТО стрелками -синей и красной указал участки которые можно со временем объединить к своей! В поселке есть школа, магазины, остановка рядом. Цену снизил от кадастровой стоимости.",Nov-25-2022_00-53,https://list.am/en/item/10928884
For Industrial Use,1300 sq.m.,,International › Russia,"$15,000",USD,"Участок, земелный, удобно и для жиля, и для фермерства, есть домик где можно жить, колодец, туалеть свет есть!",Nov-25-2022_00-53,https://list.am/en/item/17542296
For Industrial Use,"20,000 sq.m.",,International › Other Countries,"$1,100",USD,"Greenhouse for sale in whole or in parts$11 per square meterFor questions, call the specified Viber phone numberTranslated from Armenian",Nov-25-2022_00-53,https://list.am/en/item/15141885
For Residential Development,"60,000 sq.m.",,International › USA,"$25,000",USD,"1.25 Acers of California Land (60,000 sqft aprox) Located in California, 3 hours from Los Angeles City. Flat topagraphy / Easy to Build home or homes. Asking $25000 or Exchange for a 1-2 bedroom in Yerevan Kentron or Sevan Relaxation Complex or Dilijan Relaxation Complex. Buyer covers the cost of USA California Land Registration and fees for transfer of Deed. (Price Negotiable if Cash Offer) Low Property Tax $40/ Year!1,25 Acers of California Land (приблизительно 60 000 кв. Футов) Расположен в Калифорнии, в 3 часах езды от Лос-Анджелеса. Плоская топаграфия / Легко построить дом или дома. Попросить 25000 долларов или обменять на 1-2 спальни в Ереванском релаксанском комплексе Kentron или Sevan или Relaxation Complex Dilijan. Покупатель покрывает стоимость регистрации земли в США в Калифорнии и сборы за передачу Акта. (Цена договорная, если предложение наличными) Низкий налог на недвижимость 40 долларов США в год!",Nov-25-2022_00-53,https://list.am/en/item/17586642
For General Purpose,4600 sq.m.,,International › Russia,"1,200,000 ₽",RUB,Продаётся СРОЧНО. Земля находиться Краснодаре!,Nov-25-2022_00-53,https://list.am/en/item/17658160
For General Purpose,4000 sq.m.,,International › Russia,"700,000 ₽",RUB,"Продается земельный участок 40 соток. Земельный участок находится Краснодарском край, Лабинский район, станица Владимировская",Nov-25-2022_00-53,https://list.am/en/item/17649594
For Residential Development,420 sq.m.,,International › Other Countries,"$50,000",USD,"Crimea, in the city of Sastopol, 8 km from the center, 250 meters from the sea with a very beautiful view on the street ""Zakatnaya"" for sale 420 square meters of land with an old house.Translated from Armenian",Nov-25-2022_00-53,https://list.am/en/item/16230774
Agricultural,"64,000 sq.m.",,International › Russia,"$25,000",USD,"Здравствуйте. Участок земли 6.4 га Россия Калининградская область Гурьевский район поселок Вороново. Кадастровый номер 39:03:080811:19 кадастровый номер дороги 39:080811:127 Участо границит с рекой, 18 км от Калининграда и 1км от залива. Рассмотрю варианты обмена на: Авто (регистрация не имеет значения), участок земли в Армении, или недвижимость в Армении.",Nov-25-2022_00-53,https://list.am/en/item/18339057
For Residential Development,1700 sq.m.,,International › Russia,"300,000 ₽",RUB,Продаю или обменяю земельный участок 17 сот земли по адресу Российская Федерация Кемеровская область Новокузнецкий район с. Березова на недвижимость в Армении или на авто. Девять таких земельных участков. Есть участки с фундаментом в также с недостроенным домом. Это дачный район. Ценна с фундаментом и домом другая обсудим при звонке.,Nov-25-2022_00-53,https://list.am/en/item/18021867
For General Purpose,800 sq.m.,,International › Russia,"400,000 ₽",RUB,"Участок 800 м2, асфальтированная дорога, свет, вода и газ проведены. До москвы на машине 45 минут, г Бронницы сельское поселение никоновское (натальино-2) снт Победа, 8 соток в снт, рядом пруд и лес.Рядом с метро Выхино.",Nov-25-2022_00-53,https://list.am/en/item/18291917
