Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Parking,Links
Retail Space,18 sq.m.,Ararat › Artashat,"30,000 ֏",AMD,Трвум э варцов патрасти бистро Арташати меч,Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/15601085
Industrial and Manufacturing,450 sq.m.,Ararat › Ghukasavan,"300,000 ֏",AMD,"Dry workshop for rent in Ghukasavan. It is located near Yerevan. Necessary property, storage refrigerator, truck lift up to 2 tons, bathroom, office are available. The area also has a security system. The capacity of the refrigerator is 35-40 tons.Code 61007Translated from Armenian",Nov-24-2022_22-30,Available,Available,Second Line,Common from the Street,Direct Lease,3 months,1 month,Not included,,https://list.am/en/item/17710590
Functioning Business,250 sq.m.,Ararat › Ayntap,"550,000 ֏",AMD,"An existing nightclub with its own property is for rent in Aintap. It has two floors, all facilities are available. Call for details.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/18024799
Industrial and Manufacturing,300 sq.m.,"12-րդ փողոց 1, Գետափնյա","300,000 ֏",AMD,"Commercial multi-purpose two-storey premises, 1st lane, suitable as workshop, warehouse, shop,It is provided with 3-phase current, own 75kv dis. With generator, potable and artesian water, sewerage, video surveillance system, night lighting throughout the area, 36kv solar plant will be installed very soon, gas facility, parking spaces inside and outside the gate, all doors with separate iron entrances.Just 800 meters from the Nor Zovk store of Aeration to Ghukasavan, Masis...Translated from Armenian",Nov-24-2022_22-30,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,1 month,By Agreement,,https://list.am/en/item/18184956
Retail Space,15 sq.m.,Ararat › Masis,"150,000 ֏",AMD,"Pharmacy space for rent. The area is located inside Gosogh supermarket. The supermarket is located on Masis Ranchpar highway, there is no pharmacy in the area. No rent is required for the first three months.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/18046819
Retail Space,1500 sq.m.,"Lernantsqi street, Lanjazat","$25,000",USD,"For sale and exchange, I will listen to complaints, I will answer whatsab, a recreation area is given, with a monthly rent of 30,000 drams, I sleep in a part of the mountains from Artashat to Garni Geghard and Khor Virab.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/17294848
Retail Space,500 sq.m.,"Kanachut Roadway, Aygestan","$19,000",USD,"It is for sale and exchange for the role of a chaplain. Other questions Greek, Votsabis.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/17294801
Industrial and Manufacturing,9000 sq.m.,Ararat › Ararat,"1,600,000 ֏",AMD,"Ararat Marz, c. New life5 greenhouses, OrchardProduction area,A forest.Call for more details.Also available for saleTranslated from Armenian",Nov-24-2022_22-30,Available,Not available,Second Line,Separate from the Street,Direct Lease,2 years,1 month,Not included,,https://list.am/en/item/18373710
Automotive Service,90 sq.m.,Ararat › Geghanist,"100,000 ֏",AMD,He was a moika. He also has a yama.Translated from Armenian,Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/18072952
Retail Space,200 sq.m.,Ararat › Geghanist,"150,000 ֏",AMD,A shop is for rent. It is located in the central street of Geganist.Translated from Armenian,Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/18072943
