Type,Land Area,Address,Price,Currency,Description,Datetime,Service Lines,Links
For Residential Development,1300 sq.m.,Gegharkunik › Martuni,"$185,000",USD,"A plot of land near the house is for sale in Martuni, right next to the highway1st lineLand area: 1300 sq/mFront: 29 metersDepth: 42 metersThere is also a building with 55 square metersAll utilities are availableIt is suitable for carrying out various business activities.Code 30231Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17284069
For Residential Development,1000 sq.m.,Gegharkunik › Sevan,"$16,000",USD,"Նշված գինը գործում է այս ամսվա30-ը հետո թանգացնելու եմ։Վաճառում եմ հողատարացք Սևանի ափին ջրից մինչև փողոց 1000 քմ.Կարելի է օգտագործել որպես հանգստյան գոտի, լողափ...Շինության թույլտվությունով...Հնարավոր է փոխանակում համարժեք մեքենայի Skuteri Avatari Xvatayki Kofeaparati կամ բնակարանի հետ...Փոխանակման դեպքում 20.000$ էToyota Kia կամ Mercedes-bencԿլսեմ նաև ձեր առաջարկները...Это стоимость до конца этого месяцаНа берегу озера Севана продаётся земляные участок 1000 квадратных метров.Можно использовать как пляж...Возможно замена с машиной или квартирой",Nov-25-2022_00-53,"ELectricity, water supply, sewerage",https://list.am/en/item/17117517
For Public Buildings,168 sq.m.,Gegharkunik › Vardenis,"$1,500",USD,"Land for sale in the center of Vardenis city, the land is privatized, entrance from Yeritasardakan street,The width is 4.40-m. Length: 7 m. Skip for details.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/7228705
For Public Buildings,450 sq.m.,"Կարմիր Բանակի փողոց 56, Սևան","$16,000",USD,"The city of Sean, the land is located at the crossroads of the road leading to Sevan-Geghamavan-Gomadzor, next to Sean National Park, first line, it is suitable for building a shop, a car service point.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17617004
For Public Buildings,1077 sq.m.,Gegharkunik › Shoghakat,"$8,000",USD,"Specially protected, recreation area, plot of land Shoghakat community / former Shorzha / with an area of 1077.0 square meters, 22.0m * 49.0m, about 100m from Lake Sevan, owned, not for rentTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/18116091
For Residential Development,1800 sq.m.,Gegharkunik › Chambarak,"$8,000",USD,"Aygut village. With building rights, on the bank of the Getik river, close to the forest, with fruit trees, 60 meters from the road, electricity and gas, 3700 sq. M. M $ 14000. Partial sale or exchange is possibleTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/13367310
For Residential Development,600 sq.m.,Gegharkunik › Sevan,"$15,000",USD,"Land near the house for sale in Nor Tagh district of Shan city (Cheremushka)Occupies a high position.Beautiful view of Lake Sanaa.Up to 50 m distance there is a possibility to connect gas, water, electricity.It is marked with a red dot in the pictures. There is a large amount of basalt stone. Land planning is done.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/13943017
For General Purpose,1000 sq.m.,Gegharkunik › Sevan,"$15,000",USD,"Land for general use on the shore of Sean, 500 m away from the wedding stone. The land has a certificate of ownership and the right of construction.Urgent negotiable exchange with equivalent carTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17892815
For General Purpose,1620 sq.m.,Gegharkunik › Sevan,"$25,000",USD,Sevan Near Yerevan highway. Property with construction right.Translated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/15003092
For Residential Development,470 sq.m.,Gegharkunik › Martuni,"3,300,000 ֏",AMD,Ծննդատան դիմաց 2 կրորդ հողակտոր,Nov-25-2022_00-53,,https://list.am/en/item/16210484
