Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Links,Condition,Facilities,Appliances,Service Lines
House,Stone,70 sq.m.,1,3,1,Available,3 or more spots,Euro Renovation,500 sq.m.,Artsakh › Stepanakert,"$150,000",USD,"Дом, Сауна, земельный участок... Г. Степанакерт, ул. Туманяна, центр.",Nov-24-2022_23-05,https://list.am/en/item/18072962,,,,
House,Stone,70 sq.m.,2,3,1,Not available,3 or more spots,No Renovation,235 sq.m.,Artsakh › Stepanakert,"8,000,000 ֏",AMD,"A half-built house is for sale, c. In Stepanakert, D. At Pirumyan address. Has permanent water, electricity, sewerage, gas.Translated from Armenian",Nov-24-2022_23-05,https://list.am/en/item/15997965,,,,
House,Monolith,280 sq.m.,2,7,2,Not available,2 spots,No Renovation,1043 sq.m.,"Ալեքսեյ Հեքիմյան փող, Ստեփանակերտ","$150,000",USD,"Construction works continue. The house has 3 entrances, it is suitable even for 2 families. The road to the house is newly asphalted. Only (paint) remains from the interior works:)Translated from Armenian",Nov-24-2022_23-05,https://list.am/en/item/16812967,,,,
House,Stone,125 sq.m.,2,4,1,,,Partial Renovation,1800 sq.m.,Artsakh › Stepanakert,"$25,000",USD,WE HAVE 2 PROPERTIESVillage AygestanThree-phaseLots of fruit treesTranslated from Armenian,Nov-24-2022_23-05,https://list.am/en/item/17887729,,,,
House,Stone,272 sq.m.,1,8+,2,,,Cosmetic Renovation,200 sq.m.,Artsakh › Stepanakert,"$95,000",USD,"The building has 12 separate rooms, two entrances. It is possible to add two entries. For sale or rent. The roof ին sewer is fully repaired. Has gas, water supply and internet line. The road is asphalted. Address: A. Arakelyan str. , շ. 10 (Former RTS area) Price is negotiable.For more information and photos, contact the listed phone numbers.Translated from Armenian",Nov-24-2022_23-05,https://list.am/en/item/17590993,,,,
House,Stone,100 sq.m.,1,3,1,,,Cosmetic Renovation,5000 sq.m.,Artsakh › Askeran,"$60,000",USD,"A house for sale or exchange in the village of Krasni near Askerani. The area of the house is 100 square meters. Provided with utilities, gas, electricity, constant water. The total area is 5000 square meters, which includes a livestock farm, a garden, different types of fruit trees. The territory is fenced. It is possible to exchange with a house, an apartment in STEPANAKERT. For more information, call.Translated from Armenian",Nov-24-2022_23-05,https://list.am/en/item/18371032,,,,
House,Monolith,247 sq.m.,3,8+,3+,,,Partial Renovation,55 sq.m.,"Garegin Nzhdeh street, Stepanavan","$175,000",USD,Дом находится в центре города Степанакерт,Nov-24-2022_23-05,https://list.am/en/item/18144052,,,,
House,Stone,60 sq.m.,1,3,1,,,Major Renovation,,Artsakh › Stepanakert,"$35,000",USD,"3-room newly built residential house on Gagarin street, sunny and very bright.Translated from Armenian",Nov-24-2022_23-05,https://list.am/en/item/18271251,,,,
House,Stone,50 sq.m.,2,1,1,,,Old Renovation,1250 sq.m.,Artsakh › Askeran,"4,000,000 ֏",AMD,"It is located in Dahrav villageWater and electricity is availableIt is possible to exchange it with a car, I will listen to offersTranslated from Armenian",Nov-24-2022_23-05,https://list.am/en/item/16853479,,,,
House,Stone,80 sq.m.,1,3,1,,,Major Renovation,1000 sq.m.,Artsakh › Askeran,"$30,000",USD,"The house is located in the asphalted officer's district of Ivanyan community, Askeran region, it has 2 entrances, a productive garden, a well-kept yard. The house is sold together with property and equipment.! Hurry!""Buying through state support does not work""Translated from Armenian",Nov-24-2022_23-05,https://list.am/en/item/17482796,,,,
House,Stone,125 sq.m.,2,3,1,,,Partial Renovation,1800 sq.m.,Artsakh › Askeran,"$25,000",USD,"Private house with land, has an orchard, water, own three-phase. The bathroom is half-built.The price will be reduced for real buyers.Translated from Armenian",Nov-24-2022_23-05,https://list.am/en/item/16966275,,,,
House,Stone,135 sq.m.,2,6,1,Available,Not available,Partial Renovation,700 sq.m.,"Ter-Gabrielyan street, Stepanakert","14,000,000 ֏",AMD,"The bathroom, the roof are completely renovated. In case of additional questions, please call the indicated number. You can also be a participant in the resettlement program.Translated from Armenian",Nov-24-2022_23-05,https://list.am/en/item/18129448,,,,
House,Stone,188 sq.m.,2,3,1,,,Old Renovation,1980 sq.m.,Artsakh › Askeran,"5,000,000 ֏",AMD,Двухэтажный каменный дом в селе Илис (20км от Степанакерта) с земельным участком и плодовыми деревьями. Вода. Электрич-во (имеется и 3 фазовое) газ. Дом можно приобрести и по программе правительства. Дорога от Степанакерта до деревни асфальтирована.,Nov-24-2022_23-05,https://list.am/en/item/17308021,,,,
House,Stone,110 sq.m.,1,5,1,Available,1 spot,Partial Renovation,5 sq.m.,Artsakh › Stepanakert,"$65,000",USD,Urgent sale.It has a garage.Large garden with fruit trees.The yard is paved.For sale with partial ownership.It does not happen with the state program.Translated from Armenian,Nov-24-2022_23-05,https://list.am/en/item/18157869,,,,
House,Stone,110 sq.m.,1,5,1,,,No Renovation,1200 sq.m.,Artsakh › Mardakert,"$5,000",USD,The house is located in Inner BoreholeTranslated from Armenian,Nov-24-2022_23-05,https://list.am/en/item/18118455,,,,
House,Stone,263 sq.m.,3,8+,3+,By agreement,Not available,Euro Renovation,,Artsakh › Stepanakert,"$85,000",USD,"Three-storey apartment in the city center, near the market. The total living area is 263 square meters.1-floor-basement.2nd & 3rd floors - fully residential.2nd floor / fully renovated. It has 2 bathrooms, 2 bedrooms, 1 living room, kitchen, 2 halls and a balcony.The 3rd floor is partially renovated. It has 1 bedroom, 1 living room, a kitchen, 1 bathroom. It also has 50 square meters of unrepaired space.The house is provided with constant hot and cold water, heating system, gas.For sale together with furniture and electrical appliances.Price: Negotiable…Translated from Armenian",Nov-24-2022_23-05,https://list.am/en/item/17012894,,,,
House,Monolith,90 sq.m.,2,4,2,Not available,Not available,Euro Renovation,100 sq.m.,"Admiral Isakov street, Stepanakert","19,000,000 ֏",AMD,"Строение находится возле в кольцевой имеет 2 -х комнатние две квартиры, первий этаж исползоваетсья как офис можно переделать на 2х комнатную квартиру, 2-ой 2х комнaтная квартира с отдельным лестничным входом на второй этаж, остается недоделанным фасадная штукатурка",Nov-24-2022_23-05,https://list.am/en/item/18187806,,,,
House,Stone,190 sq.m.,2,7,2,,,Partial Renovation,3700 sq.m.,Artsakh › Stepanakert,"35,000,000 ֏",AMD,"A two-story house is for sale in Ajapnyak... The house is 190 square meters. M... The area is 3700 square meters. M... Fruit trees, constant water, electricity, gas, Sunny side, is there a swimming pool, Pavilion, barn for animals... Write for more details!Translated from Armenian",Nov-24-2022_23-05,https://list.am/en/item/18272442,,,,
House,Stone,28 sq.m.,1,1,1,,,Euro Renovation,46 sq.m.,Artsakh › Stepanakert,"8,000,000 ֏",AMD,"Однокомнатный, отремонтированный собственный дом в центре города со всеми удобствами и с мебелью. Евроокна, металлическая дверь. Имеется также погреб для хранения продуктов и т. Д и т. ПКрыша новая, металлическая. Также имеется навес. Рядом школа N8, площадь, рынок.Цена договорная!",Nov-24-2022_23-05,https://list.am/en/item/17501373,,,,
House,Stone,62 sq.m.,1,3,1,,,Euro Renovation,240 sq.m.,"Tigran Mets lane, Stepanakert","$55,000",USD,Продается 1-этажный 3-х комнатный дом -новостройка в г. Степанакерт ул. Т. Мец 2-ой тупик 4/1. Дом продается с мебелью и бытовой техникой. Есть навес для автомобиля. Дом в аренду не сдается.,Nov-24-2022_23-05,https://list.am/en/item/16626372,,,,
