Type,Floor Area,Address,Price,Currency,Description,Datetime,Links,Utilities,Amenities
Garage,20 sq.m.,Gegharkunik › Vardenis,"850,000 ֏",AMD,"A garage is for sale in Vardenis, it is in good condition. Call for detailed questions.Translated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/18287083,,
Garage,24 sq.m.,"Nairyan Street, Sevan town","$3,500",USD,"The garage is made of stone, with panel covering. Dimensions on 6x4 (24 square meters) He has a box. It is located near Ararat Bank. The garage is not in the pictures.Translated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/16096285,,
Garage,40 sq.m.,"Ազատության փողոց, Գավառ","$4,000",USD,Գավառ քաղաքի Ազատության 29 շենքի (փոսի շենք) մոտ վաճառվում է ավտոտնակ։ Ավտոտնակը 4-10-ի է։ Ավտոտնակի մեջ կա յամկա եվ պադվալային մաս։ Մնացացը տեղում ավելի կոնկրետ կարող եք տեսնել։ Նկարներում ոնց երևում է։,Nov-24-2022_16-41,https://list.am/en/item/16614364,,
Garage,25 sq.m.,Gegharkunik › Sevan,"$5,500",USD,"It is a solid concrete garage, with the possibility of building a second floor, located at e. Next to the network. The garage is privatized.Translated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/18341343,,
Garage,46 sq.m.,"Nairyan Street, Sevan town","$5,000",USD,"A garage of 46 square meters is for sale, you can turn it into a private house, which is located in the center of San, with the post office.The garage can accommodate two carsThe second floor of the garage can be used as a storage roomTranslated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/16449033,,
Garage,35 sq.m.,"Մխիթար Հերացու փողոց 10, Մարտունի","$1,800",USD,"Good condition, Soviet car for sale, single garage without space, 5*7, urgently call in the city of MartuniTranslated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/18212532,,
Garage,35 sq.m.,"Մխիթար Հերացու փողոց 10, Մարտունի","$2,200",USD,"Garage in the city of Martuni, very good condition, soviet style, call with his Polkek, single garage for saleTranslated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/18212533,,
Garage,30 sq.m.,Gegharkunik › Gavar,"2,500,000 ֏",AMD,"For saleDOMIK. GARAGE. SHOP. HOUSE.It is capitally renovated.I like the window installedThe walls, the floor, the ceilingcompletely glazed.The floor is DEVELOPED under two.Translated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/16524945,,
Garage,60 sq.m.,"Աբովյան փողոց 16, Սևան","1,700,000 ֏",AMD,"6 m wide and 10 m long. 60 square, the floor is asphalt. The roof is iron. It is in the dust. It is VERY URGENT, that's why the price is back!Translated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/16431410,,
Garage,40 sq.m.,"Zor. Andranik Str, Gavar","$3,000",USD,Кабелагорцнери фохоц ев фоханакум կօխքի տարացքա հետա 5000 $ тарацка 100 каракусие,Nov-24-2022_16-41,https://list.am/en/item/15875838,,
Garage,24 sq.m.,Gegharkunik › Sevan,"$6,000",USD,"Karitsa, tin roof, inside 2.50 gate 2.10, 6 on 4Translated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/18308162,,
Garage,40 sq.m.,Gegharkunik › Sevan,"$3,000",USD,The documents are availableThe garage is located in Xi'anTranslated from Armenian,Nov-24-2022_16-41,https://list.am/en/item/17126034,,
Garage,30 sq.m.,Gegharkunik › Sevan,"$2,500",USD,The garage is located in SeanThere is another garage on the pageThe two together $ 4000Translated from Armenian,Nov-24-2022_16-41,https://list.am/en/item/17126055,,
Garage,20 sq.m.,Gegharkunik › Gavar,"1,000,000 ֏",AMD,"В г. Гавар, ул. Азатутян, по соседству с домом 30 продается металлический гараж в хорошем состоянии. Пол гаража бетонный, под гаражом есть бетонный подвал. Гараж в чистой и сухом состоянии. Торг.",Nov-24-2022_16-41,https://list.am/en/item/18034455,,
Garage,32 sq.m.,Gegharkunik › Sevan,"$7,500",USD,"A garage for sale in the city of Sevan, 59/16 Nalbandian (next to the electricity network) 32 square meters, 2 floorsOwned land 32 square meters, building 2 floors total 63.2 square meters. Attached buildingTranslated from Armenian",Dec-15-2022_20-27,https://list.am/en/item/18616532,Electricity,
Garage,30 sq.m.,Gegharkunik › Sevan,"$2,500",USD,A garage is for sale in the city of SevanTranslated from Armenian,Dec-15-2022_20-27,https://list.am/en/item/18653047,,
Garage,45 sq.m.,Gegharkunik › Sevan,"1,400,000 ֏",AMD,"A garage is for sale or rent in the city of Sevan, in the back of 《Haypost》 (a row of garages) Inside dimensions: 8.4×5.4.Can serve as a warehouse, workshop and other purposes.Translated from Armenian",Dec-15-2022_20-27,https://list.am/en/item/18681773,,
Garage,35 sq.m.,Gegharkunik › Gavar,"$5,500",USD,Stone garageThe garage is located next to Azatutyan 11 building (Alex Market building)Garage dimensions - 8 x 4There is a yamka in the garageTranslated from Armenian,Dec-15-2022_20-27,https://list.am/en/item/18707290,,
