Type,Construction Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Parking,Links
Functioning Business,Stone,64 sq.m.,Armavir › Echmiadzin,"$30,000",USD,"5 km from Etchmiadzin, 30 km from Yerevan. For sale is a working bakery with all its accessories, there is also a toaster for baking lavash. It has three-phase current, gas. The area is on the main street, it has a plot of 400 square meters with fruit trees. M. Suitable for any activity. UrgentTranslated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/18351529
Functioning Business,Stone,42 sq.m.,Armavir › Norapat,"$30,000",USD,"An operating beauty salon is for sale, the salon is located in Norapat, the price is negotiable.Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/17959851
Building,Monolith,127 sq.m.,"Spandaryan Street, Vagharshapat","$100,000",USD,Semi-built for sale in Etchmiadzin. With the permission of the second floor... The land is of public importance 150 m.NEGOTIABLETranslated from Armenian,Nov-24-2022_21-58,Not available,Not available,First Line,Common from the Street,,https://list.am/en/item/15809632
Multifunctional Space,Stone,134 sq.m.,"Vazgen Arajin street, Vagharshapat","$120,000",USD,"2 separate buildings, for rent. (Echmiadzin, Kirov) Owner:Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/16844491
Functioning Business,Stone,7400 sq.m.,Armavir › Echmiadzin,"$135,000",USD,"An operating business for sale in Zvartnots, 18 km from the centerin the distance, newly built Greenhouses total land 7500 sq. M.4500 square meters of greenhouses made of glass,water, gas, electricity with all utilities,fence, drip system, private house 80 sq. M.Fruit trees, gate. For sale as:Operating business. It is possible to exchange a car or an apartmentwith surcharge.Greenhouse, greenhousesCode 000015Translated from Armenian",Nov-24-2022_21-58,Not available,Not available,Second Line,Separate from the Street,,https://list.am/en/item/15296199
Functioning Business,Stone,1200 sq.m.,"Անդրանիկի փողոց 17, Տարոնիկ","$180,000",USD,"(kod kom 16) Existing business for sale in Armavir marz, 10 km from Etchmiadzin city. The total area of the plot is 1.2 hectares, i. E. 12,000 m/sq. About 6,000 m/s of ready, working greenhouses, the greenhouses were built recently and have been in operation for 2-3 years, assembled with modern technologies. A 28-meter deep well is drilled, three-phase current is available. There is also a garden with fruit trees, a newly built and almost completed residential house with an area of 100 m/s, intended for the relaxation of the workers and the owner. At current market prices, it would take about $200,000-$250,000 to assemble a greenhouse of this scale.It is an affordable offer compared to the market, the price is negotiable, you can agree on the final price with the owner.Translated from Armenian",Nov-24-2022_21-58,Not available,Not available,Other,Separate from the Street,,https://list.am/en/item/14462662
Industrial and Manufacturing,Stone,45 sq.m.,"Եղիշե Չարենցի փողոց 25, Վաղարշապատ","$15,000",USD,"A stone building of 45 square meters is for sale very urgently. Has potable water, electricity, gas, basementIron door, gate is assembled, suspended ceiling, all mounted, worps workshop. Workshop. Office, etc. Can also be used as a 1-room apartment after cutting the walls, it is 45 square meters, the price is 15,000, negotiableTranslated from Armenian",Nov-24-2022_21-58,Available,Not available,First Line,Separate from the Courtyard,,https://list.am/en/item/17945809
Retail Space,Stone,24 sq.m.,Armavir › Parakar,"$22,000",USD,"Business for sale, area 24 square metersParakar, next to the churchall the communications are connected, there is a centralized sewerageThe walls are lined with double tuff on 3 sideshe exchanges with a carCode VM759Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/17236639
Automotive Service,Stone,20 sq.m.,Armavir › Parakar,"3,000 ֏",AMD,Car service point for rent is located in Parakar. 20 square meters on the road to Yerevan Eshmiatsin highwayTranslated from Armenian,Nov-24-2022_21-58,,,,,,https://list.am/en/item/17641315
Industrial and Manufacturing,Monolith,1000 sq.m.,Armavir › Echmiadzin,"$24,000",USD,Exchange: My other announcements includeTranslated from Armenian,Nov-24-2022_21-58,Not available,Not available,First Line,Separate from the Street,,https://list.am/en/item/14895551
