Type,Construction Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Parking,Links
Automotive Service,Stone,450 sq.m.,Artsakh › Stepanakert,"$199,900",USD,Универсальное здание,Nov-24-2022_17-54,,,,,,https://list.am/en/item/17862251
Automotive Service,Stone,220 sq.m.,Artsakh › Stepanakert,"$99,000",USD,Stepanakert ArtsakhTranslated from Armenian,Nov-24-2022_17-54,,,,,,https://list.am/en/item/18293000
Multifunctional Space,Stone,300 sq.m.,Artsakh › Stepanakert,$300,USD,"Многофункциональное помешение недостроенно двухэтажный мотел, и автосервис общая площадь 300 м2",Nov-24-2022_17-54,,,,,,https://list.am/en/item/18294146
Hotel,Stone,137 sq.m.,Artsakh › Stepanakert,"65,000,000 ֏",AMD,"Продается готовый гостиничный бизнес. При желании можно использовать как жилой дом и бизнес в одном здании. Общая площадь территории - 1130 кв. М. Здание 2-х этажное, построенно в 2018 году. 6 отдельных комнат с санузлами. Один номер двухкомнатный с совмещенной кухней-гостинной. Во всех номерах есть кондиционер, телевизор, необходимая мебель. Телефонизация по всем комнатам, система отопления, холодильники, стиральные машины. Ресепшн на втором этаже, вход с главной трассы. Имеется веранда 50 кв. М с летней кухней и мангалом. Парковка, въезд с главной трассы, видеонаблюдение. 45 метров фасада выходит на главную дорогу, при желании можно построить еще одно здание на заднем дворе, территория большая.",Nov-24-2022_17-54,Available,Not available,First Line,Separate from the Street,OUtdoor parking,https://list.am/en/item/18193691
Retail Space,Wooden,12 sq.m.,"Knunyantsneri street, Stepanakert","$5,500",USD,"An iron pavilion boutique with a total area of 12 square meters (3 by 4) is for sale. The pavilion is designed for making shawarma. The pavilion has an electric device for making shawarma, a refrigerator, a sink, the appropriate equipment for making french fries and a sandwich, furniture, etc.For sale with all the property.For more information call.Translated from Armenian",Nov-24-2022_17-54,,,,,,https://list.am/en/item/17078715
Multifunctional Space,Monolith,128 sq.m.,"Aleksey Hekimyan street, Stepanakert","$115,000",USD,"3-storey building is for sale. The first and third floors are used as a shop, and the second floor is adapted as an apartment with all the possibilities. The first floor is 27.5 square metersSecond floor 35.5 sq. M.Third floor 65 sq. M.Translated from Armenian",Nov-24-2022_17-54,Available,Not available,First Line,Common from the Street,,https://list.am/en/item/17287528
Industrial and Manufacturing,Monolith,264 sq.m.,"Kamo street, Stepanakert","25,000,000 ֏",AMD,"Commercial space for urgent sale, suitable for building an office, warehouse is located in Artsakh district, possible exchange Toyota Lend cruiser, Lexus 460, Honda accord, Toyota camri above 2018, I will listen to reasonable offers.Translated from Armenian",Nov-24-2022_17-54,Not available,Not available,Second Line,Common from the Street,,https://list.am/en/item/18096729
Everything Else,Stone,80 sq.m.,"Mesrop Mashtotsi Avenue, Stepanakert","$70,000",USD,"Building type: StoneArea: 80 square metersUniversal newly built area for sale, the purpose of which is public, which allows to carry out any type of activity,With. Area: 80 square meters ․ isIt is endowed with all the necessary utility conditions, including three-phase electricity.Translated from Armenian",Nov-24-2022_17-54,,,,,,https://list.am/en/item/13764372
Restaurant,Stone,315 sq.m.,Artsakh › Mardakert,"75,000 ֏",AMD,"An existing restaurant (object hotel), recreation area, located in the Getavan community of Martakert region, on the banks of the Tartar river, is for sale. It is mostly known by the name The total area of the building is 315m. Square, provided with hot and cold water, has 2 hotel rooms, 4 private rooms (compartments), spacious yard with its outdoor pavilions. There is a centralized heating system, which operated with wood, coal and electricity, has a separate e. Substation with a capacity of 40 KV. For more information call.Translated from Armenian",Nov-24-2022_17-54,,,,,,https://list.am/en/item/12779532
Multifunctional Space,Stone,25 sq.m.,"Aleksey Hekimyan street 11, Stepanakert","$13,900",USD,"The area is newly renovated. 25 sq. M. It is located near the Stepanakert ambulance station. Suitable for use as an office, residential house, shop, workshop, hotel or any other purpose. There is water, sewerage, electricity. The construction permit for the 2nd floor is in progress. After the construction, you will have 50 square meters in the central part of the city. The area is currently rented / 180 $ /. Exchange with an equivalent car is possible.Translated from Armenian",Nov-24-2022_17-54,,,,,,https://list.am/en/item/17126314
Retail Space,Stone,25 sq.m.,"Azatamartikneri Avenue 16, Stepanakert","$50,000",USD,"Продается помещение в Степанакерте, ул. Азатамартикнери 16, общая площадь 25 кв. М. Торговая площадь 20кв. М. Есть вода, канализация, санузел, кондиционер, очень комфортное помещение в самом центре города",Nov-24-2022_17-54,Not available,Not available,First Line,Common from the Street,,https://list.am/en/item/15555327
